site,title,link,city,organization,note,salary_min,salary_max,salary_currency
HeadHunter,Маркетолог-аналитик,https://adsrv.hh.ru/click?b=372132&c=6&meta=wcsWT7KmuLa-qvyPwPr98dPJT9H8S1A3_ibwp9koqbKTRivZVCix8YN9SN8mCEx7Q5_ks4bYRx4p0lDR7O1r3gqbHhHe9BCkNXc4veNFVMJ8Njcn49bQ7DB5ahdrnSLoBYe9QOfGb4BW2tRMCdxJLcdtROHO4RX0JlV83C_lnvWSQm3_PNKju5G8OfS12Udm5pgQLULSH_2gQiBJkRJmMg%3D%3D&place=35&clickType=link_to_vacancy,Москва,ООО Ваша Кадровая Служба,Можно из дома,45 000,,руб.
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77004932?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Xploration Capital,,150 000,,руб.
HeadHunter,Аналитик коммерческого отдела,https://spb.hh.ru/vacancy/77441415?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Алмазгеобур,,180 000,,руб.
HeadHunter,Аналитик данных (Junior),https://spb.hh.ru/vacancy/76991488?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Владивосток,DNS Технологии,,70 000,,руб.
HeadHunter,Стажер-аналитик,https://spb.hh.ru/vacancy/77631148?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Ташкент,ООО MERIDIAN SCHOOL,,2 500 000,,сум
HeadHunter,Системный аналитик,https://spb.hh.ru/vacancy/77643387?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Воронеж,SoftGamings,Откликнитесь среди первых,85 000,200 000,руб.
HeadHunter,Аналитик Excel в стартап,https://spb.hh.ru/vacancy/77617560?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,Intapplex,,50 000,,руб.
HeadHunter,Аналитик данных,https://spb.hh.ru/vacancy/77394120?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Эффекшн Консалтинг,,,,
HeadHunter,Ассистент бизнес-аналитика / помощник аналитика,https://spb.hh.ru/vacancy/76711002?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Трубпромдеталь,,40 000,120 000,руб.
HeadHunter,Руководитель группы аналитики,https://spb.hh.ru/vacancy/77662218?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Нижний Новгород,Компания IXORA,,100 000,,руб.
HeadHunter,Младший аналитик данных,https://spb.hh.ru/vacancy/77630221?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Игровые Системы,,50 000,,руб.
HeadHunter,Аналитик управления закупок,https://spb.hh.ru/vacancy/77004934?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Xploration Capital,,200 000,,руб.
HeadHunter,IT-аналитик,https://spb.hh.ru/vacancy/77136809?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Воронеж,SoftGamings,,85 000,200 000,руб.
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77671734?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Екатеринбург,ООО Электро-Оптим,,30 000,50 000,руб.
HeadHunter,Стажер-аналитик (Пермь),https://spb.hh.ru/vacancy/77289696?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Пермь,ООО Гриндата,,,,
HeadHunter,Младший аналитик,https://spb.hh.ru/vacancy/76041377?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,Frank RG,,50 000,80 000,руб.
HeadHunter,Младший аналитик,https://spb.hh.ru/vacancy/77685740?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Ижевск,ООО Крит,Откликнитесь среди первых,30 000,65 000,руб.
HeadHunter,Экономист-аналитик,https://spb.hh.ru/vacancy/77467154?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ОАЭ,HR Consulting,,3 500,,USD
HeadHunter,Аналитик учета товародвижения,https://spb.hh.ru/vacancy/77448490?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,APETI.RU,,100 000,120 000,руб.
HeadHunter,Дата-аналитик,https://spb.hh.ru/vacancy/76913103?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Город Инвесторов,Можно из дома,100 000,,руб.
HeadHunter,Аналитик данных,https://spb.hh.ru/vacancy/77125339?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Краснодар,Клерк.Ру,,,,
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77684659?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Самара,ANCOR,Откликнитесь среди первых,70 000,,руб.
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77684660?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Санкт-Петербург,ANCOR,Можно из дома,70 000,,руб.
HeadHunter,Стажер-аналитик в Томске,https://spb.hh.ru/vacancy/77602505?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Томск,Тинькофф,,,,
HeadHunter,Junior аналитик (ценообразование),https://spb.hh.ru/vacancy/77631868?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО ВсеИнструменты.ру,,,,
HeadHunter,Младший аналитик (работа с маркетплейсами),https://spb.hh.ru/vacancy/77166874?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ИП Лизунов Антон Александрович,,50 000,75 000,руб.
HeadHunter,Бизнес-аналитик (удаленно),https://spb.hh.ru/vacancy/76939348?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Аннор Групп,Можно из дома,,,
HeadHunter,Аналитик управления закупок,https://spb.hh.ru/vacancy/77004934?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Xploration Capital,,200 000,,руб.
HeadHunter,Младший аналитик-экономист,https://spb.hh.ru/vacancy/73837556?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Новосибирск,ЗАО Группа компаний С7,,,,
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77639012?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Волгоград,Ansoft,Откликнитесь среди первых,90 000,,руб.
HeadHunter,Аналитик Excel в стартап,https://spb.hh.ru/vacancy/77617560?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,Intapplex,,50 000,,руб.
HeadHunter,Помощник бизнес-аналитика,https://spb.hh.ru/vacancy/77335854?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Воронеж,"ООО  «ОФИСМАГ», Головная организация",,51 000,67 000,руб.
HeadHunter,Младший аналитик данных,https://spb.hh.ru/vacancy/77665840?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО Медиапоинт,,,90 000,руб.
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/76940963?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Ижевск,ООО НОВЫЙ УРОВЕНЬ,,40 000,70 000,руб.
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77417925?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Ташкент,ООО Biznes Aziya,,6 500 000,,сум
HeadHunter,Аналитик,https://spb.hh.ru/vacancy/77306153?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Владивосток,Центр Ремонтных Технологий,Откликнитесь среди первых,60 000,80 000,руб.
HeadHunter,Бизнес-аналитик,https://spb.hh.ru/vacancy/76737449?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,ООО РИКЦ,,250 000,400 000,руб.
HeadHunter,Аналитик по R&D проектам HFLabs,https://spb.hh.ru/vacancy/76828518?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Москва,HFLabs,,300 000,350 000,руб.
HeadHunter,Трейдер-аналитик,https://spb.hh.ru/vacancy/77564006?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Екатеринбург,ООО Альфамонолит,,80 000,250 000,руб.
HeadHunter,Аналитик ресурсов на тему разработки,https://spb.hh.ru/vacancy/72705706?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Екатеринбург,Яндекс,Можно из дома,,65 000,руб.
